path,url,title,date,type_guess,weight_28d,clicks_28d,impressions_28d,avg_pos_28d,ctr_28d,clicks_7d,impressions_7d,avg_pos_7d,ctr_7d
/tc/insights/5-Love-Languages,https://refresh.bokss.org.hk/tc/insights/5-Love-Languages,個人成長 5種愛的語言 了解你與伴侶的愛的方式 有效表達愛意 讓平淡關係升溫,2023-07-03,標準熱話科普,252.681,160,46254,6.98,0.003459,40,8788,6.95,0.004552
/tc/insights/Inner-child,https://refresh.bokss.org.hk/tc/insights/Inner-child,個人成長 認識5種常見「內在小孩」 3個方法讓「自」癒之旅啟航,2024-05-03,標準熱話科普,135.173,120,7168,6.07,0.016741,30,3808,6.71,0.007878
/tc/insights/highly-sensitive-people,https://refresh.bokss.org.hk/tc/insights/highly-sensitive-people,附測試連結｜你是高敏感人嗎？ 善用7大特質 活出獨特人生,2024-08-01,標準熱話科普,129.867,98,15778,5.99,0.006211,16,3273,6.07,0.004888
/tc/insights/AutomaticThoughts,https://refresh.bokss.org.hk/tc/insights/AutomaticThoughts,個人成長 想太多、鑽牛角尖？ 9個思想陷阱令你遠離快樂,2023-02-03,標準熱話科普,77.408,72,1518,7.45,0.047431,16,298,8.43,0.053691
/tc/insights/positive_quotes,https://refresh.bokss.org.hk/tc/insights/positive_quotes,個人成長 偉人給你5個抗負金句,2023-01-05,標準熱話科普,68.719,52,8201,7.63,0.006341,10,1555,7.86,0.006431
/tc/insights/amygdala-hijack,https://refresh.bokss.org.hk/tc/insights/amygdala-hijack,個人成長 大腦被杏仁核劫持了？！ 5個方法防止情緒跳掣,2024-01-09,標準熱話科普,54.1,42,5871,10.18,0.007154,11,1575,11.36,0.006984
/tc/insights/post/nutrition_001,https://refresh.bokss.org.hk/tc/insights/post/nutrition_001,運動與健康 吃貨的宅家健康提案,2022-03-17,標準熱話科普,51.002,1,1,1.0,1.0,0,0,0.0,0.0
/tc/insights/Extrovert-Introvert,https://refresh.bokss.org.hk/tc/insights/Extrovert-Introvert,個人成長 總是心很累？ 外向人vs內向人 休息方法大不同,2023-08-23,標準熱話科普,45.741,25,10310,6.76,0.002425,7,2321,7.43,0.003016
/tc/insights/caregivers,https://refresh.bokss.org.hk/tc/insights/caregivers,情緒管理︱照顧者必學的「五感減壓法」 10分鐘就有感！,2025-03-11,標準熱話科普,44.0,40,1000,8.36,0.04,10,207,6.86,0.048309
/tc/insights/should-i-resign-2024,https://refresh.bokss.org.hk/tc/insights/should-i-resign-2024,工作與財務管理 沒有工作值得你犧牲身心健康 7大跡象 代表你是時候轉工,2024-07-10,標準熱話科普,42.169,38,1411,9.05,0.026931,7,245,7.9,0.028571
/tc/insights/Emotional-Value,https://refresh.bokss.org.hk/tc/insights/Emotional-Value,人際關係 情緒管理︱從Disneyland、Jellycat學習提升好感度 「情緒價值」是關鍵 5個小技巧有效建立關係,2025-01-24,標準熱話科普,38.946,24,7392,8.6,0.003247,0,2216,8.96,0.0
/tc/insights/midlife-crisis-fathers-stress-guide,https://refresh.bokss.org.hk/tc/insights/midlife-crisis-fathers-stress-guide,個人成長 【父親節】鐵漢也有無力時：解構中年男人的三大壓力源與自救指南,2026-06-08,日子／國際日專題,32.983,12,10463,7.01,0.001147,2,1452,8.3,0.001377
/tc/insights/hk_overcoming-emotional-numbness-meaning-therapy,https://refresh.bokss.org.hk/tc/insights/hk_overcoming-emotional-numbness-meaning-therapy,「麻木了」怎麼辦？3個幫你擺脫「空心人」狀態，找回內心溫度,2026-02-09,標準熱話科普,31.322,27,1782,7.07,0.015152,5,362,6.7,0.013812
/tc/insights/loneliness-5ways,https://refresh.bokss.org.hk/tc/insights/loneliness-5ways,個人成長 常感空虛寂寞凍？ 5個方法助你駕馭孤獨感,2024-04-12,標準熱話科普,29.686,23,3161,8.17,0.007276,4,499,8.89,0.008016
/tc/insights/hong-kong-art-therapy-stress-relief-refresh,https://refresh.bokss.org.hk/tc/insights/hong-kong-art-therapy-stress-relief-refresh,不懂畫畫也能用藝術治療自己？研究：亂畫45分鐘有效減壓！,2026-01-22,標準熱話科普,29.227,26,838,8.18,0.031026,5,205,8.48,0.02439
/tc/insights/comfort-just-right,https://refresh.bokss.org.hk/tc/insights/comfort-just-right,個人成長 開解不了身邊人怎麼辦？ 美國社工導師教你3個有效的安慰技巧,2023-09-06,標準熱話科普,26.495,18,4139,8.03,0.004349,6,1046,8.54,0.005736
/tc/insights/once-in-a-lifetime,https://refresh.bokss.org.hk/tc/insights/once-in-a-lifetime,個人成長 一期一會——從賞櫻、茶道體悟人生哲學 珍惜每一次相會,2023-04-19,標準熱話科普,25.053,13,5972,7.64,0.002177,4,1054,7.83,0.003795
/tc/Insights/Chinese-medicine2804,https://refresh.bokss.org.hk/tc/Insights/Chinese-medicine2804,運動與健康 【與__對談】把脈可知抑鬱焦慮狀態 中醫拆解情緒病因,2023-04-28,標準熱話科普,24.994,22,648,12.65,0.033951,2,97,10.74,0.020619
/tc/insights/procrastination-2024,https://refresh.bokss.org.hk/tc/insights/procrastination-2024,6大「拖延症」類型 即Check你屬於哪類（附測試連結）,2024-05-20,標準熱話科普,24.778,19,2714,8.98,0.007001,7,657,8.57,0.010654
/tc/insights/family-therapy-concepts,https://refresh.bokss.org.hk/tc/insights/family-therapy-concepts,個人成長 家庭也會「生病」 三大潛藏相處模式影響重大,2023-03-29,標準熱話科普,22.104,17,2373,16.25,0.007164,4,731,17.85,0.005472
/tc/insights/student-suicide,https://refresh.bokss.org.hk/tc/insights/student-suicide,人際關係 認識自殺警號及開解技巧 陪伴學生度過難關,2023-11-13,標準熱話科普,22.08,17,2360,10.64,0.007203,1,290,10.54,0.003448
/tc/insights/perfectionist,https://refresh.bokss.org.hk/tc/insights/perfectionist,個人成長 完美主義OUT ?! 認識卓越主義 讓你不被失敗打擊 更有能力實踐高質目標,2023-09-21,標準熱話科普,21.33,11,5111,8.38,0.002152,2,865,9.2,0.002312
/tc/insights/hk-junior-adult-maturity-anxiety-refresh,https://refresh.bokss.org.hk/tc/insights/hk-junior-adult-maturity-anxiety-refresh,為何我們變成「初級大人」？心理學揭現代人的成熟焦慮,2026-03-10,標準熱話科普,20.034,17,1146,6.98,0.014834,3,210,7.35,0.014286
/tc/insights/hong-kong-mean-culture-australia-dairy-company,https://refresh.bokss.org.hk/tc/insights/hong-kong-mean-culture-australia-dairy-company,世界友善日｜澳牛港式Mean「整定嘅」？ 毒舌背後的善意,2025-11-13,日子／國際日專題,19.668,16,1581,7.48,0.01012,9,467,7.48,0.019272
/tc/insights/unconscious-mind,https://refresh.bokss.org.hk/tc/insights/unconscious-mind,原來是潛意識主宰你人生 4個你可能不知道的「潛」能,2023-07-20,標準熱話科普,18.338,13,2541,10.54,0.005116,0,647,13.68,0.0
/tc/insights/hk4trails,https://refresh.bokss.org.hk/tc/insights/hk4trails,運動與健康 從《香港四徑大步走》學懂的人生課題 把痛點變轉捩點 培養韌性是生存之道,2025-01-21,標準熱話科普,18.276,15,1363,8.01,0.011005,0,329,8.27,0.0
/tc/insights/fomo,https://refresh.bokss.org.hk/tc/insights/fomo,個人成長 自我成長｜每天花很多時間看社交媒體？不敢錯過朋友同事聚會？ 你有錯失恐懼症FOMO嗎？（附測試連結）,2024-08-23,標準熱話科普,18.009,10,3941,7.76,0.002537,4,587,7.77,0.006814
/tc/insights/investment-2024,https://refresh.bokss.org.hk/tc/insights/investment-2024,林本利傳授「投資十誡」 做好2024財務預算 建立正確投資觀,2024-02-29,標準熱話科普,17.534,12,2654,10.07,0.004521,6,2111,10.18,0.002842
/tc/insights/communication-skills,https://refresh.bokss.org.hk/tc/insights/communication-skills,人際關係 個人成長 全民禮貌運動 5個「避雷」說話技巧 讓別人不生氣又聽進批評,2023-06-30,標準熱話科普,17.523,12,2648,7.95,0.004532,2,505,8.18,0.00396
/tc/insights/hugging-trees,https://refresh.bokss.org.hk/tc/insights/hugging-trees,休息與睡眠｜社恐也可靠擁抱自療 抱樹的3種神奇功效,2024-10-17,標準熱話科普,16.457,14,779,7.41,0.017972,5,192,6.79,0.026042
/tc/insights/SmilingDepression/2023,https://refresh.bokss.org.hk/tc/insights/SmilingDepression/2023,個人成長 表面開心，內裡厭世 了解「微笑抑鬱症」特徵與成因,2023-06-26,標準熱話科普,16.119,12,1902,12.22,0.006309,0,348,11.43,0.0
/tc/insights/Parent-Child-Relationship,https://refresh.bokss.org.hk/tc/insights/Parent-Child-Relationship,父母這樣做 孩子情緒更好 親子關係更close,2023-08-29,標準熱話科普,16.089,3,6533,7.52,0.000459,0,572,8.45,0.0
/tc/insights/philosopher-quotes,https://refresh.bokss.org.hk/tc/insights/philosopher-quotes,個人成長｜你幸福嗎？ 5句哲學家語錄 教你由自己定義幸福,2024-09-20,標準熱話科普,16.008,12,1841,7.63,0.006518,2,402,7.52,0.004975
/tc/insights/LunarNewYearFilms,https://refresh.bokss.org.hk/tc/insights/LunarNewYearFilms,個人成長 重溫5句經典賀歲片對白 為自己打打氣,2023-01-23,標準熱話科普,15.284,13,537,6.52,0.024209,0,58,5.36,0.0
/tc/insights/FathersDay_2023,https://refresh.bokss.org.hk/tc/insights/FathersDay_2023,父親節不容偏心 4個小撇步提升親子關係,2023-06-16,日子／國際日專題,15.164,0,7582,5.82,0.0,0,1331,5.93,0.0
/tc/insights/active-listening,https://refresh.bokss.org.hk/tc/insights/active-listening,個人成長 你是溝通終結者嗎？ 3方面成為優質聆聽者 讓人願意向你傾訴,2024-01-16,標準熱話科普,15.043,10,2418,8.01,0.004136,1,623,8.57,0.001605
/tc/insights/self-criticism-with-assessment,https://refresh.bokss.org.hk/tc/insights/self-criticism-with-assessment,個人成長｜覺得自己永遠是錯？為缺點感困擾？後悔做過的事？（附測試連結） 臨床心理學家3招改善自我批評 教你更自愛,2024-09-03,標準熱話科普,14.689,11,1681,7.81,0.006544,0,324,9.49,0.0
/tc/insights/5amClub,https://refresh.bokss.org.hk/tc/insights/5amClub,運動與健康 習慣早起減抑鬱！ 加入5am Club 啟動晨型健康模式,2023-08-07,標準熱話科普,14.492,12,326,4.91,0.03681,1,63,5.83,0.015873
/tc/insights/social-worker-dad-family-of-oirigin,https://refresh.bokss.org.hk/tc/insights/social-worker-dad-family-of-oirigin,人際關係 個人成長 【與＿＿對談】過自己想要的人生！社工爸爸教你應對原生家庭的影響及教養子女要訣,2023-09-11,標準熱話科普,14.261,6,4094,9.31,0.001466,2,361,9.47,0.00554
